MAE,Sm,wFm,Em
0.009850763715803623,0.49790673842473526,0.0034719215097077155,0.2521788586395822
0.4599865674972534,0.2748780227072872,0.08240030379186244,0.25505145419004527
0.16799063980579376,0.48457707544820205,0.3416839633150849,0.3684731242052076
0.6835213899612427,0.16505683726181591,0.09786958667311917,0.24785228481647306
0.48919960856437683,0.2619338693604386,0.08751857295687863,0.2542892052179673
0.4120979309082031,0.30240820643154126,0.10011119656529158,0.2568425234893644
0.7215741872787476,0.1467335986105673,0.11075890170005516,0.23928955753669448
0.8787800669670105,0.06778095785728351,0.10117638273090403,0.22440492160487632
0.5253114700317383,0.2571065630693067,0.20576019852809818,0.2609213483321472
0.16468793153762817,0.4204836732324171,0.07355770005393181,0.2548487443387555
0.643814206123352,0.18608123182490327,0.10446912444048957,0.24857501244587266
0.3029254376888275,0.41206209250448794,0.37795150636127695,0.35374534388578366
0.5301705002784729,0.2444991500704436,0.10802550404421671,0.2528380410907779
0.07384984195232391,0.46749947714917034,0.09785437071858326,0.2518357359846468
0.9117714166641235,0.06369565153531992,0.20121437268515252,0.08049840476755604
0.02978064864873886,0.4913023618450502,0.014670262160145242,0.25287685361736656
0.45148202776908875,0.2937054513417063,0.2857001422235217,0.2862796244946009
0.6597017645835876,0.17736093854905105,0.10227440083464757,0.24686225855896632
0.6488885283470154,0.1873408075005239,0.13123547028106908,0.24713187390181984
0.44430971145629883,0.3131202772114865,0.23609391216029843,0.282063711410099
0.04307156801223755,0.47991755913738054,0.05444931551575907,0.252489869841805
0.5688396096229553,0.22113549956483325,0.0868033526682059,0.25349111200502505
